Species_ID,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Synonym,Authority_Source,Citation,Common_Name,Life_Cycle,Complete,Update_Date,Update_By,Update_Comments,Park,Life_Form,Nativity,Park_Common_Name,Distribution,Conservation_Status
20100315154438-113947570.323944,Lotus subbiflorus,LOTSUB,Fabales,Fabaceae,Lotus,subbiflorus,,Lag.,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,hairy bird's-foot trefoil,Annual,TRUE,2013-12-12T15:35:47Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.,HAVO,Herb,Non-Native,hairy bird's-foot trefoil,nat,
20100315154438-114195466.041565,Pandanus veitchii,PANVEI,Pandanales,Pandanaceae,Pandanus,veitchii,,,,,,"variegated pandanus, hala",Perennial,FALSE,,,,PUHE,,Non-Native,,,
20100315154438-114332795.143127,Syzygium dealatum,SYZDEA,Myrtales,Myrtaceae,Syzygium,dealatum,,(Burkill) A. C. Smith,,Whistler 2004,,asi vai,,TRUE,,,,NPSA,Tree,Native,asi vai,ind,
20100315154438-114623308.181763,Tabernaemontana pandacaqui,TABPAN,Gentianales,Apocynaceae,Tabernaemontana,pandacaqui,,Poir.,,Wagner et al. 2012,"Frohlich & Lau, 2010",,Perennial,FALSE,2013-12-12T15:30:01Z,Kelly Kozar,"Updated TSNs from ITIS database data, mostly from temporary TSNs to permanent TSNs. Updated authority source and citation data.",NPSA,,Native,,,
20100315154438-114816963.672638,Pritchardia schattaueri,PRISCH,Arecales,Arecaceae,Pritchardia,schattaueri,,Hodel,,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Hodel 2007,Loulu,Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,Updated authority source and citation data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form and conservation status in xref table from PLANTS database.,PUHO,,Native,,end,E
20100315154438-115470111.370087,Hedychium spicatum,HEDSPI,Zingiberales,Zingiberaceae,Hedychium,spicatum,,,,,,,Perennial,FALSE,,,,HAVO,,Non-Native,,,
20100315154438-115647733.211517,Homalocladium platycladum,HOMPLA,Polygonales,Polygonaceae,Homalocladium,platycladum,,,,,,ribbonbush,Perennial,FALSE,,,,HAVO,,Non-Native,,,
20100315154438-116229474.544525,Schoenoplectus tabernaemontani,SCHTAB,Cyperales,Cyperaceae,Schoenoplectus,tabernaemontani,,(C. C. Gmel.) Palla,Schoenoplectus lacustris (L.) Palla subsp. validus (Vahl) T.Koyama,Wagner et al. 2012,"Smith, 1995","akaakai, `aka`akai",Perennial,FALSE,2013-12-13T12:17:25Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60. Updated life form in xref table from PLANTS database. Updated life form",HALE,,Native,,ind,
20100315154438-117231607.437134,Amaranthus tricolor,AMATRI,Caryophyllales,Amaranthaceae,Amaranthus,tricolor,,,,,,Chinese spinach,Annual,FALSE,,,,HAVO,,Non-Native,,,
20100315154438-117402136.325836,Gamochaeta purpurea,GAMPUR,Asterales,Asteraceae,Gamochaeta,purpurea,,(L.) Cabrera,Gnaphalium purpureum L.,Wagner et al. 2012,"Wagner et al., 1997; Wood & LeGrande, 2006; Alford, submitted",purple cudweed,Biennial,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HALE,Herb,Non-Native,purple cudweed,nat,
20100315154438-117402136.325836,Gamochaeta purpurea,GAMPUR,Asterales,Asteraceae,Gamochaeta,purpurea,,(L.) Cabrera,Gnaphalium purpureum L.,Wagner et al. 2012,"Wagner et al., 1997; Wood & LeGrande, 2006; Alford, submitted",purple cudweed,Biennial,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",HAVO,Herb,Non-Native,purple cudweed,nat,
20100315154438-117402136.325836,Gamochaeta purpurea,GAMPUR,Asterales,Asteraceae,Gamochaeta,purpurea,,(L.) Cabrera,Gnaphalium purpureum L.,Wagner et al. 2012,"Wagner et al., 1997; Wood & LeGrande, 2006; Alford, submitted",purple cudweed,Biennial,TRUE,2013-12-12T15:38:12Z,Kelly Kozar,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference table for species in Hawaii from data in the 2012 Bishop Museum Technical Report 60.",KALA,Herb,Non-Native,purple cudweed,nat,
