Species_ID,Update_Date,Update_By,Park,Life_Form,Nativity,Distribution,Conservation_Status,Scientific_Name,Code,Taxonomic_Order,Taxonomic_Family,Genus,Species,Subdivision,Authority,Authority_Source,Citation,Life_Cycle,Update_Comments,Park_Common_Name
20100315154438-852757394.313812,2013-12-12T15:30:01Z,Kelly Kozar,HALE,Shrub,Non-Native,nat,,Buddleja asiatica,BUDASI1,Scrophulariales,Scrophulariaceae,Buddleja,asiatica,,Lour.,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002; Wood, 2006",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,dog tail
20100315154438-852757394.313812,2013-12-12T15:30:01Z,Kelly Kozar,HAVO,Shrub,Non-Native,nat,,Buddleja asiatica,BUDASI1,Scrophulariales,Scrophulariaceae,Buddleja,asiatica,,Lour.,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002; Wood, 2006",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,dog tail
20100315154438-852757394.313812,2013-12-12T15:30:01Z,Kelly Kozar,KAHO,Shrub,Non-Native,nat,,Buddleja asiatica,BUDASI1,Scrophulariales,Scrophulariaceae,Buddleja,asiatica,,Lour.,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002; Wood, 2006",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,dog tail
20100315154438-852757394.313812,2013-12-12T15:30:01Z,Kelly Kozar,KALA,Shrub,Non-Native,nat,,Buddleja asiatica,BUDASI1,Scrophulariales,Scrophulariaceae,Buddleja,asiatica,,Lour.,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002; Wood, 2006",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,dog tail
20100315154438-852757394.313812,2013-12-12T15:30:01Z,Kelly Kozar,WAPA,Shrub,Non-Native,,,Buddleja asiatica,BUDASI1,Scrophulariales,Scrophulariaceae,Buddleja,asiatica,,Lour.,Wagner et al. 2012,"Oppenheimer & Bartlett, 2002; Wood, 2006",Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-853130757.808685,2013-12-13T12:17:25Z,Kelly Kozar,HALE,Shrub,Non-Native,nat,,Capsicum annuum,CAPANN,Solanales,Solanaceae,Capsicum,annuum,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Annual,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",
20100315154438-853130757.808685,2013-12-13T12:17:25Z,Kelly Kozar,HAVO,Shrub,Non-Native,nat,,Capsicum annuum,CAPANN,Solanales,Solanaceae,Capsicum,annuum,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Annual,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",
20100315154438-853130757.808685,2013-12-13T12:17:25Z,Kelly Kozar,PUHE,Shrub,Non-Native,nat,,Capsicum annuum,CAPANN,Solanales,Solanaceae,Capsicum,annuum,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Annual,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",
20100315154438-853130757.808685,2013-12-13T12:17:25Z,Kelly Kozar,WAPA,Shrub,Non-Native,,,Capsicum annuum,CAPANN,Solanales,Solanaceae,Capsicum,annuum,,L.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Annual,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",
20100315154438-853855729.103088,2013-12-12T15:35:47Z,Kelly Kozar,HALE,Tree,Non-Native,nat,,Schinus terebinthifolius,SCHTER,Sapindales,Anacardiaceae,Schinus,terebinthifolius,,Raddi,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Christmas berry
20100315154438-853855729.103088,2013-12-12T15:35:47Z,Kelly Kozar,HAVO,Tree,Non-Native,nat,,Schinus terebinthifolius,SCHTER,Sapindales,Anacardiaceae,Schinus,terebinthifolius,,Raddi,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Christmas berry
20100315154438-853855729.103088,2013-12-12T15:35:47Z,Kelly Kozar,KAHO,Tree,Non-Native,nat,,Schinus terebinthifolius,SCHTER,Sapindales,Anacardiaceae,Schinus,terebinthifolius,,Raddi,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Christmas berry
20100315154438-853855729.103088,2013-12-12T15:35:47Z,Kelly Kozar,KALA,Tree,Non-Native,nat,,Schinus terebinthifolius,SCHTER,Sapindales,Anacardiaceae,Schinus,terebinthifolius,,Raddi,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Christmas berry
20100315154438-853855729.103088,2013-12-12T15:35:47Z,Kelly Kozar,PUHE,Tree,Non-Native,nat,,Schinus terebinthifolius,SCHTER,Sapindales,Anacardiaceae,Schinus,terebinthifolius,,Raddi,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Christmas berry
20100315154438-853855729.103088,2013-12-12T15:35:47Z,Kelly Kozar,PUHO,Tree,Non-Native,nat,,Schinus terebinthifolius,SCHTER,Sapindales,Anacardiaceae,Schinus,terebinthifolius,,Raddi,2012 Bishop Museum Technical Report 60,Wagner et al. 1990; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,Christmas berry
20100315154438-853966712.95166,2013-12-13T12:17:25Z,Kelly Kozar,HAVO,,Non-Native,nat,,Selaginella kraussiana,SELKRA,Selaginellales,Selaginellaceae,Selaginella,kraussiana,,(Kunze) A.Braun,2012 Bishop Museum Technical Report 60,Palmer 2003; Staples & Herbst 2005,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-855152726.173401,2013-12-12T15:38:12Z,Kelly Kozar,HALE,Sedge,Native,end,,Cyperus hillebrandii var. hillebrandii,CYPHIL,Cyperales,Cyperaceae,Cyperus,hillebrandii,var. hillebrandii,Boeck.,Wagner et al. 2012,"Strong & Wagner, 1997; Tucker, 1994",Perennial,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",Cyperus hillebrandii var. hillebrandii
20100315154438-855152726.173401,2013-12-12T15:38:12Z,Kelly Kozar,HAVO,Sedge,Native,end,,Cyperus hillebrandii var. hillebrandii,CYPHIL,Cyperales,Cyperaceae,Cyperus,hillebrandii,var. hillebrandii,Boeck.,Wagner et al. 2012,"Strong & Wagner, 1997; Tucker, 1994",Perennial,"Updated authority source, citation, and synonym data.  Updated distribution in the cross reference t",Cyperus hillebrandii var. hillebrandii
20100315154438-856248795.986176,2013-12-12T15:35:47Z,Kelly Kozar,HALE,Tree,Native,end,,Wikstroemia monticola,WIKMON,Myrtales,Thymelaeaceae,Wikstroemia,monticola,,Skottsb.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Perennial,Updated authority source and citation data.  Updated distribution in the cross reference table for s,‘ākia
20100315154438-856401443.481445,2013-12-13T12:17:25Z,Kelly Kozar,PUHO,,Native,ind?,,Cleome spinosa,CLESPI,Capparales,Cleomaceae,Cleome,spinosa,,Jacq.,2012 Bishop Museum Technical Report 60,Wagner et al. 1990,Annual,Updated authority source and citation data.  Updated distribution in the cross reference table for s,
20100315154438-856967210.769653,2015-03-17T00:00:00Z,Kelly Kozar,HAVO,,Native,,,Polyscias sandwicensis,POLSAN,Apiales,Araliaceae,Polyscias,sandwicensis,,(A. Gray) Lowry & G.M. Plunkett,2012 Bishop Museum Technical Report 60,Lowry & Plunkett 2010:74,Perennial,Updated life form in cross reference table from data in the PLANTS database.  Updated to accepted na,‘ohe
